in s,C1 in V
-6.00000E-05,-1.70898E-04
-5.99988E-05,-1.12305E-04
-5.99976E-05,-2.09961E-04
-5.99964E-05,-9.27734E-05
-5.99952E-05,-1.41602E-04
-5.99940E-05,-1.46484E-05
-5.99928E-05,-2.09961E-04
-5.99916E-05,-2.09961E-04
-5.99904E-05,-1.51367E-04
-5.99892E-05,-1.90430E-04
-5.99880E-05,-1.22070E-04
-5.99868E-05,4.88281E-06
-5.99856E-05,-1.02539E-04
-5.99844E-05,-1.61133E-04
-5.99832E-05,-5.37109E-05
-5.99820E-05,-2.19727E-04
-5.99808E-05,4.88281E-06
-5.99796E-05,-2.19727E-04
-5.99784E-05,-1.80664E-04
-5.99772E-05,-1.41602E-04
-5.99760E-05,-9.27734E-05
-5.99748E-05,-1.51367E-04
-5.99736E-05,-2.29492E-04
-5.99724E-05,-1.61133E-04
-5.99712E-05,-1.61133E-04
-5.99700E-05,-4.39453E-05
-5.99688E-05,-2.00195E-04
-5.99676E-05,-2.19727E-04
-5.99664E-05,-2.49023E-04
-5.99652E-05,-1.41602E-04
-5.99640E-05,-2.49023E-04
-5.99628E-05,-1.22070E-04
-5.99616E-05,-2.09961E-04
-5.99604E-05,-1.51367E-04
-5.99592E-05,-1.41602E-04
-5.99580E-05,-2.00195E-04
-5.99568E-05,-1.02539E-04
-5.99556E-05,3.41797E-05
-5.99544E-05,-1.41602E-04
-5.99532E-05,-2.39258E-04
-5.99520E-05,-1.70898E-04
-5.99508E-05,-1.31836E-04
-5.99496E-05,-2.88086E-04
-5.99484E-05,-1.61133E-04
-5.99472E-05,-1.80664E-04
-5.99460E-05,-1.61133E-04
-5.99448E-05,-2.19727E-04
-5.99436E-05,-6.34766E-05
-5.99424E-05,-2.39258E-04
-5.99412E-05,-1.51367E-04
-5.99400E-05,-1.61133E-04
-5.99388E-05,-2.58789E-04
-5.99376E-05,-1.61133E-04
-5.99364E-05,-1.90430E-04
-5.99352E-05,-1.80664E-04
-5.99340E-05,-1.80664E-04
-5.99328E-05,-2.19727E-04
-5.99316E-05,-1.12305E-04
-5.99304E-05,-1.02539E-04
-5.99292E-05,-1.51367E-04
-5.99280E-05,-1.02539E-04
-5.99268E-05,-1.61133E-04
-5.99256E-05,-2.29492E-04
-5.99244E-05,-4.39453E-05
-5.99232E-05,-2.39258E-04
-5.99220E-05,-4.39453E-05
-5.99208E-05,-1.80664E-04
-5.99196E-05,-1.31836E-04
-5.99184E-05,-1.22070E-04
-5.99172E-05,-1.12305E-04
-5.99160E-05,-1.70898E-04
-5.99148E-05,-4.39453E-05
-5.99136E-05,-2.39258E-04
-5.99124E-05,-1.46484E-05
-5.99112E-05,-3.07617E-04
-5.99100E-05,-1.90430E-04
-5.99088E-05,-1.80664E-04
-5.99076E-05,-2.00195E-04
-5.99064E-05,-2.88086E-04
-5.99052E-05,-1.02539E-04
-5.99040E-05,-1.61133E-04
-5.99028E-05,-1.90430E-04
-5.99016E-05,-1.12305E-04
-5.99004E-05,-2.19727E-04
-5.98992E-05,-1.80664E-04
-5.98980E-05,-2.68555E-04
-5.98968E-05,-1.41602E-04
-5.98956E-05,-1.90430E-04
-5.98944E-05,-4.39453E-05
-5.98932E-05,-1.51367E-04
-5.98920E-05,-1.61133E-04
-5.98908E-05,-5.37109E-05
-5.98896E-05,-9.27734E-05
-5.98884E-05,-1.80664E-04
-5.98872E-05,-1.12305E-04
-5.98860E-05,-2.09961E-04
-5.98848E-05,-1.61133E-04
-5.98836E-05,-2.00195E-04
-5.98824E-05,-1.02539E-04
-5.98812E-05,-1.41602E-04
-5.98800E-05,-5.37109E-05
-5.98788E-05,-1.70898E-04
-5.98776E-05,-2.00195E-04
-5.98764E-05,-1.90430E-04
-5.98752E-05,-2.09961E-04
-5.98740E-05,-2.39258E-04
-5.98728E-05,-2.09961E-04
-5.98716E-05,-2.39258E-04
-5.98704E-05,-1.51367E-04
-5.98692E-05,-1.70898E-04
-5.98680E-05,-4.39453E-05
-5.98668E-05,-2.00195E-04
-5.98656E-05,-1.80664E-04
-5.98644E-05,-1.61133E-04
-5.98632E-05,-2.88086E-04
-5.98620E-05,-3.41797E-05
-5.98608E-05,-1.70898E-04
-5.98596E-05,-1.41602E-04
-5.98584E-05,-2.68555E-04
-5.98572E-05,-1.41602E-04
-5.98560E-05,-4.39453E-05
-5.98548E-05,-1.51367E-04
-5.98536E-05,-2.58789E-04
-5.98524E-05,-4.39453E-05
-5.98512E-05,-1.02539E-04
-5.98500E-05,-1.02539E-04
-5.98488E-05,-7.32422E-05
-5.98476E-05,-1.70898E-04
-5.98464E-05,-2.58789E-04
-5.98452E-05,-8.30078E-05
-5.98440E-05,-2.49023E-04
-5.98428E-05,-2.09961E-04
-5.98416E-05,-1.22070E-04
-5.98404E-05,-2.78320E-04
-5.98392E-05,-1.61133E-04
-5.98380E-05,-7.32422E-05
-5.98368E-05,-1.41602E-04
-5.98356E-05,-1.80664E-04
-5.98344E-05,-2.19727E-04
-5.98332E-05,-3.07617E-04
-5.98320E-05,-1.31836E-04
-5.98308E-05,-2.78320E-04
